Rosalind_4138 Rosalind_2866
Rosalind_7929 Rosalind_2469
Rosalind_7590 Rosalind_2717
Rosalind_7590 Rosalind_6535
Rosalind_7590 Rosalind_6680
Rosalind_7590 Rosalind_0247
Rosalind_0683 Rosalind_0493
Rosalind_0683 Rosalind_7551
Rosalind_9573 Rosalind_0493
Rosalind_9573 Rosalind_7551
Rosalind_5684 Rosalind_8443
Rosalind_5684 Rosalind_5494
Rosalind_0463 Rosalind_5985
Rosalind_8255 Rosalind_5081
Rosalind_9385 Rosalind_3546
Rosalind_6008 Rosalind_0463
Rosalind_2717 Rosalind_3619
Rosalind_2717 Rosalind_0871
Rosalind_2717 Rosalind_2596
Rosalind_2717 Rosalind_6331
Rosalind_2133 Rosalind_7225
Rosalind_2133 Rosalind_2296
Rosalind_1556 Rosalind_5684
Rosalind_1556 Rosalind_8255
Rosalind_2118 Rosalind_2133
Rosalind_2118 Rosalind_4098
Rosalind_2118 Rosalind_0925
Rosalind_2118 Rosalind_1597
Rosalind_2306 Rosalind_5848
Rosalind_8251 Rosalind_5081
Rosalind_7225 Rosalind_0463
Rosalind_4098 Rosalind_0493
Rosalind_4098 Rosalind_7551
Rosalind_5302 Rosalind_6008
Rosalind_9626 Rosalind_8891
Rosalind_9513 Rosalind_5551
Rosalind_7291 Rosalind_8443
Rosalind_7291 Rosalind_5494
Rosalind_5341 Rosalind_0463
Rosalind_2846 Rosalind_2469
Rosalind_5985 Rosalind_2133
Rosalind_5985 Rosalind_4098
Rosalind_5985 Rosalind_0925
Rosalind_5985 Rosalind_1597
Rosalind_5244 Rosalind_8382
Rosalind_5244 Rosalind_8569
Rosalind_2345 Rosalind_6705
Rosalind_3546 Rosalind_4954
Rosalind_3546 Rosalind_3810
Rosalind_8382 Rosalind_2846
Rosalind_8382 Rosalind_3723
Rosalind_6705 Rosalind_5407
Rosalind_1125 Rosalind_0596
Rosalind_1125 Rosalind_2341
Rosalind_6610 Rosalind_3173
Rosalind_3723 Rosalind_2469
Rosalind_8569 Rosalind_5081
Rosalind_0934 Rosalind_8289
Rosalind_8443 Rosalind_3619
Rosalind_8443 Rosalind_0871
Rosalind_8443 Rosalind_2596
Rosalind_8443 Rosalind_6331
Rosalind_9995 Rosalind_7929
Rosalind_9995 Rosalind_7590
Rosalind_9995 Rosalind_6610
Rosalind_1213 Rosalind_5244
Rosalind_1213 Rosalind_7580
Rosalind_3810 Rosalind_0463
Rosalind_9025 Rosalind_5848
Rosalind_4577 Rosalind_9440
Rosalind_6699 Rosalind_3619
Rosalind_6699 Rosalind_0871
Rosalind_6699 Rosalind_2596
Rosalind_6699 Rosalind_6331
Rosalind_5848 Rosalind_5407
Rosalind_2585 Rosalind_8737
Rosalind_2585 Rosalind_1844
Rosalind_7551 Rosalind_8039
Rosalind_5855 Rosalind_4138
Rosalind_5855 Rosalind_9513
Rosalind_5855 Rosalind_1213
Rosalind_5855 Rosalind_6699
Rosalind_5855 Rosalind_3696
Rosalind_5855 Rosalind_8699
Rosalind_9255 Rosalind_6705
Rosalind_5430 Rosalind_0881
Rosalind_0881 Rosalind_2345
Rosalind_0881 Rosalind_9255
Rosalind_0881 Rosalind_6145
Rosalind_0881 Rosalind_2772
Rosalind_0925 Rosalind_5783
Rosalind_6712 Rosalind_5407
Rosalind_4128 Rosalind_5783
Rosalind_7580 Rosalind_9798
Rosalind_3696 Rosalind_5855
Rosalind_3696 Rosalind_5430
Rosalind_8737 Rosalind_4954
Rosalind_8737 Rosalind_3810
Rosalind_2596 Rosalind_0881
Rosalind_7174 Rosalind_8039
Rosalind_6167 Rosalind_5244
Rosalind_6167 Rosalind_7580
Rosalind_6535 Rosalind_0463
Rosalind_6331 Rosalind_8289
Rosalind_9798 Rosalind_9385
Rosalind_4045 Rosalind_9995
Rosalind_8039 Rosalind_5783
Rosalind_0596 Rosalind_7929
Rosalind_0596 Rosalind_7590
Rosalind_0596 Rosalind_6610
Rosalind_9440 Rosalind_5407
Rosalind_5494 Rosalind_5684
Rosalind_5494 Rosalind_8255
Rosalind_6145 Rosalind_3546
Rosalind_8699 Rosalind_5551
Rosalind_3138 Rosalind_5341
Rosalind_3138 Rosalind_9025
Rosalind_3138 Rosalind_6880
Rosalind_4688 Rosalind_5407
Rosalind_0896 Rosalind_5985
Rosalind_6680 Rosalind_5783
Rosalind_3601 Rosalind_0683
Rosalind_3601 Rosalind_8251
Rosalind_3601 Rosalind_4128
Rosalind_3601 Rosalind_4595
Rosalind_3173 Rosalind_5684
Rosalind_3173 Rosalind_8255
Rosalind_1597 Rosalind_9995
Rosalind_2772 Rosalind_3173
Rosalind_4595 Rosalind_0463
Rosalind_1844 Rosalind_3546
